Date;USD
03.08.20;485.8300
04.08.20;485.6600
05.08.20;485.5200
06.08.20;485.1800
07.08.20;485.0000
10.08.20;485.2300
11.08.20;485.3200
12.08.20;485.0000
13.08.20;485.1700
14.08.20;484.8300
17.08.20;484.6500
18.08.20;484.2100
19.08.20;484.3000
20.08.20;484.7200
21.08.20;485.0500
24.08.20;485.2500
25.08.20;485.7100
26.08.20;487.1700
27.08.20;487.0300
28.08.20;487.2400
31.08.20;487.2000
01.09.20;486.8600
02.09.20;487.2900
03.09.20;487.4800
04.09.20;488.0000
07.09.20;488.1200
08.09.20;488.5700
09.09.20;488.8100
10.09.20;488.3300
11.09.20;487.6700
14.09.20;486.3700
15.09.20;485.3100
16.09.20;484.9300
17.09.20;484.4000
18.09.20;485.2600
22.09.20;485.2900
23.09.20;485.4200
24.09.20;485.3200
25.09.20;485.2700
28.09.20;485.6600
29.09.20;487.6200
30.09.20;488.4100
01.10.20;488.5800
02.10.20;488.6000
05.10.20;488.5900
06.10.20;490.1400
07.10.20;490.1700
08.10.20;491.1500
09.10.20;490.9500
12.10.20;489.6500
13.10.20;490.9900
14.10.20;491.3400
15.10.20;491.6800
16.10.20;492.1500
19.10.20;492.4000
20.10.20;493.3300
21.10.20;494.3700
22.10.20;494.3100
23.10.20;494.0100
26.10.20;493.2400
27.10.20;493.1800
28.10.20;492.7100
29.10.20;493.1500
30.10.20;493.6000
02.11.20;493.7600
03.11.20;493.6600
04.11.20;493.5000
05.11.20;493.8700
06.11.20;493.7400
09.11.20;493.7500
10.11.20;494.1300
11.11.20;494.7600
12.11.20;495.5800
13.11.20;495.9400
16.11.20;497.1400
17.11.20;497.3800
18.11.20;498.8000
19.11.20;500.8200
20.11.20;503.2200
23.11.20;505.3200
24.11.20;512.3100
25.11.20;511.6900
26.11.20;508.1200
27.11.20;508.2100
30.11.20;506.4000
01.12.20;506.9800
02.12.20;509.1400
03.12.20;510.0000
04.12.20;511.2500
07.12.20;512.5400
08.12.20;514.1300
09.12.20;515.4800
10.12.20;518.7700
11.12.20;520.6200
14.12.20;522.4600
15.12.20;525.0900
16.12.20;524.9000
17.12.20;523.4200
18.12.20;522.2300
21.12.20;521.6600
22.12.20;521.9700
23.12.20;522.2100
24.12.20;522.4800
25.12.20;522.5700
28.12.20;523.2500
29.12.20;522.3000
30.12.20;522.5900
08.01.21;522.7900
11.01.21;523.7600
12.01.21;525.4400
13.01.21;526.8900
14.01.21;525.4500
15.01.21;522.5300
18.01.21;522.1900
19.01.21;519.3100
20.01.21;519.1900
21.01.21;518.8900
22.01.21;518.4400
