Date,Average
01.01.19,296090.9
01.02.19,298145.5
01.03.19,303909.1
01.04.19,306300.0
01.05.19,309150.0
01.06.19,311600.0
01.07.19,313877.3
01.08.19,317472.7
01.09.19,321381.8
01.10.19,326990.9
01.11.19,333681.8
01.12.19,341450.0
01.01.20,343372.7
01.02.20,347172.7
01.03.20,349190.9
01.04.20,349190.9
01.05.20,345781.8
01.06.20,342109.1
01.07.20,336309.1
01.08.20,332572.7
01.09.20,332072.7
01.10.20,329718.2
01.11.20,327100.0
01.12.20,328122.7
01.01.21,326563.6
01.02.21,325445.5
01.03.21,325827.3
01.04.21,327495.5
01.05.21,330340.9
01.06.21,334631.8
01.07.21,336690.9
01.08.21,341400.0
01.09.21,346027.3
01.10.21,350386.4
01.11.21,357177.3
01.12.21,359986.4
01.01.22,360695.5
01.02.22,363977.3
01.03.22,374086.4
01.04.22,381318.2
01.05.22,387072.7
01.06.22,390213.6
01.07.02,390995.5
01.08.22,392477.3
01.09.22,393509.1
