Date,Average,,,,,
1/1/2019,609.5045455,,,,,
2/1/2019,610.44,,,,,
3/1/2019,623.4281818,,,,,
4/1/2019,632.4718182,,,,,
5/1/2019,643.3245455,,,,,
6/1/2019,651.2436364,,,,,
7/1/2019,658.7136364,,,,,
8/1/2019,666.9590909,,,,,
9/1/2019,674.8454545,,,,,
10/1/2019,686.5236364,,,,,
11/1/2019,699.3663636,,,,,
12/1/2019,713.9718182,,,,,
1/1/2020,715.7181818,,,,,
2/1/2020,724.74,,,,,
3/1/2020,714.0781818,,,,,
4/1/2020,714.5872727,,,,,
5/1/2020,714.2481818,,,,,
6/1/2020,710.8454545,,,,,
7/1/2020,693.9218182,,,,,
8/1/2020,685.0254545,,,,,
9/1/2020,682.3109091,,,,,
10/1/2020,670.5145455,,,,,
11/1/2020,654.6981818,,,,,
12/1/2020,632.3318182,,,,,
1/1/2021,626.56,,,,,
2/1/2021,621.6254545,,,,,
3/1/2021,617.4827273,,,,,
4/1/2021,623.0645455,,,,,
5/1/2021,633.6263636,,,,,
6/1/2021,652.1890909,,,,,
7/1/2021,685.9063636,,,,,
8/1/2021,694.2836364,,,,,
9/1/2021,708.8981818,,,,,
10/1/2021,731.1145455,,,,,
11/1/2021,747.7645455,,,,,
12/1/2021,742.0245455,,,,,
1/1/2022,748.3472727,,,,,
2/1/2022,757.9072727,,,,,
3/1/2022,752.7481818,,,,,
4/1/2022,809.6109091,,,,,
5/1/2022,847.84,,,,,
6/1/2022,923.1663636,,,,,
7/1/2002,951.2581818,,,,,
8/1/2022,967.2872727,,,,,
9/1/2022,961.7718182,,,,,
