Date,Kentron,Arabkir,Qanaqer-Zeytun,Nor-Norq,Avan,Erebuni,Shengavit,Davtashen,Ajapnyak,Malatia-sebastia,Nubarashen
01.01.19,572000,390000,288500,248000,261000,256000,255800,300000,266100,248000,171600
01.02.19,576500,394100,290000,250000,263000,258000,258000,302000,268000,249000,171000
01.03.19,586200,400000,295000,257000,265700,263000,266000,310100,273000,255000,172000
01.04.19,590000,404100,296100,260000,268100,265000,268000,312000,275000,258000,173000
01.05.19,595000,408000,300000,263050,270100,267000,270800,314500,278200,260000,174000
01.06.19,600000,410000,303000,265000,271000,268000,273000,317000,282000,263000,175600
01.07.19,605000,412000,305000,266750,272500,269600,275200,318500,285900,266200,176000
01.08.19,612000,416500,309500,270200,275000,273500,279000,321000,288500,269000,178000
01.09.19,622000,422600,313000,275000,277600,275000,282000,323000,293000,272000,180000
01.10.19,630000,430000,317500,280000,281000,278000,288200,330300,300000,278600,183300
01.11.19,644100,440500,325000,285000,286700,283000,293000,335000,308200,284500,185500
01.12.19,655500,453000,332050,292300,295100,290000,300000,343000,315000,292000,188000
01.01.20,659500,456600,334500,293000,297000,291500,302000,344500,317000,293500,188000
01.02.20,665000,462200,338000,297000,301000,295000,305000,348000,321200,296500,190000
01.03.20,670000,465000,340100,299050,303050,296500,306200,350000,323000,297200,191000
01.04.20,670000,465000,340100,299050,303050,296500,306200,350000,323000,297200,191000
01.05.20,668000,463500,335000,296000,300000,293000,303000,345000,320000,294000,186100
01.06.20,662000,460000,331100,293000,298000,290200,300050,340000,313800,291050,184000
01.07.20,645000,450050,326000,290100,294000,286050,297000,333000,310000,287200,181000
01.08.20,630000,440000,323000,290100,293000,284100,295000,330000,308100,285000,180000
01.09.20,625000,443100,321500,292000,290500,282200,298000,325000,310000,285500,180000
01.10.20,620500,440300,319000,290500,290500,281000,296500,322000,308000,283100,175500
01.11.20,610300,438000,316000,290000,288200,280000,295000,318000,305100,282000,175500
01.12.20,613050,440200,317200,292200,289000,282000,296500,317000,304000,283200,175000
01.01.21,608500,436500,315000,293000,288000,280500,297000,315200,303000,281000,174500
01.02.21,605200,435000,313500,292100,286500,280500,296100,314000,302000,280500,174500
01.03.21,606000,436000,313000,293200,286000,280500,297200,313200,303000,281000,175000
01.04.21,610000,440500,315200,294050,285200,281000,298500,314500,305000,283500,175000
01.05.21,615500,445000,318300,296050,287100,284000,301000,317200,308000,285500,176100
01.06.21,622000,450200,321000,300000,293050,288000,305100,321100,312500,290000,178000
01.07.21,625100,455000,322200,301500,294200,290000,307200,323500,314100,292500,178300
01.08.21,635300,462000,330100,305600,298100,293100,310000,327100,318000,295000,181100
01.09.21,650100,470200,335500,308100,301500,296000,313100,330000,320100,297500,184200
01.10.21,665000,473000,340000,312000,303100,299500,315000,335100,325500,300050,186000
01.11.21,672300,475000,350050,312500,310500,307300,322300,345000,335000,310000,189000
01.12.21,680600,484100,356100,310000,315050,310000,318050,351300,331500,313100,190050
01.01.22,683000,483000,358200,309000,316600,311200,320100,353500,331000,312000,190050
01.02.22,690550,490100,360500,309000,320000,315500,323500,356500,331000,316100,191000
01.03.22,715600,506100,372050,318100,320000,323000,330100,368000,342000,323000,197000
01.04.22,730000,517000,380100,322000,325600,330200,336000,375300,350000,328000,200300
01.05.22,739500,522500,385000,328100,331100,336500,340100,380300,360100,332100,202500
01.06.22,744100,526600,386000,330600,335050,340000,342000,385000,362700,336000,204300
01.07.02,742500,527000,386000,331500,336500,342300,341050,388500,363000,337500,205100
01.08.22,745100,530000,387500,331500,337500,344000,341050,391200,364200,339000,206200
01.09.22,750000,534500,388600,330000,339000,345200,342000,393500,360500,340300,205000
